51300023645,bee,226,34
51300024375,bag,92,257
51300033527,dgg,165,178
51300042637,ded,177,130
51300047200,bad,242,269
51300055187,cdf,78,100
51300061676,bgd,261,82
51300085129,egc,289,257
51300086399,bfe,288,142
51300093897,cda,190,285
51300111765,acd,39,85
51300130888,eca,274,265
51300260961,gcb,87,78
51300311272,caf,86,6
51300325625,dfa,252,298
51300348859,edg,159,251
51300360919,afg,138,136
51300364018,dfb,259,188
51300368128,cea,224,219
51300371964,cga,3,163
51300455578,bff,110,258
51300471259,geb,43,276
51300481322,ggb,96,60
51300501545,bbc,274,120
51300510152,agf,184,262
51300553975,cea,226,251
51300573441,cef,159,83
51300586848,ffb,284,117
51300591488,gab,232,76
51300603647,cbc,284,21
51300612874,bfg,165,299
51300636080,add,89,162
51300662021,aga,135,216
51300667639,fdb,197,288
51300676847,dfc,124,32
51300708933,faf,280,224
51300739995,dea,93,198
51300779697,ced,213,21
51300803642,ged,299,194
51300814959,gba,217,34
51300870634,eab,149,218
51300873816,fag,115,217
51300992429,fdf,97,117
51301012517,acf,272,248
51301028008,beb,167,274
51301031005,gfb,177,292
51301079669,fdd,266,140
51301184321,eba,32,80
51301196948,daf,290,102
51301228117,bgg,207,228
51301228614,fee,194,20
51301244604,dfc,245,28
51301248948,cde,206,172
51301311665,adf,115,274
51301394871,cca,207,197
51301399284,dcc,292,153
51301439446,dca,264,162
51301444566,dfe,8,237
51301479545,afc,273,291
51301486025,gcg,15,7
51301521438,fda,62,104
51301525006,efd,189,216
51301531316,fed,77,130
51301532141,dae,158,102
51301577247,ced,122,22
51301582162,fcd,284,142
51301695956,fdg,27,116
51301740171,deg,265,124
51301783667,fac,228,230
51301810612,cdb,65,185
51301826787,gcb,181,65
51301855965,bgb,151,201
51301891887,bfb,131,285
51301892557,cgb,132,148
51301899915,cbf,201,140
51301904608,edf,92,243
51301910380,faf,160,217
51301914711,adc,135,109
51301949127,dad,95,12
51302032087,fca,250,295
51302039391,fcg,290,174
51302060321,dce,42,92
51302101400,bag,10,249
51302147834,gcc,44,93
51302152085,ffb,173,93
51302177520,dgc,88,27
51302266993,fcc,219,213
51302271298,ega,48,119
51302291681,ffa,3,19
51302315250,efd,259,190
51302328235,gae,29,110
51302334852,ccc,273,288
51302348442,bgc,29,120
51302380484,gcd,46,282
51302471120,fag,38,188
51302506437,eeg,9,266
51302508269,fgd,150,96
51302524983,fcf,202,184
51302554809,cfe,67,291
51302578544,cdg,29,248
51302657393,bea,67,167
51302708824,bgb,142,217
51302710106,agd,176,186
51302715370,fgf,135,173
51302747493,gdb,268,130
51302781150,efb,182,238
51302800495,afa,221,284
51302808011,dbg,233,155
51302843172,gff,151,72
51302845902,abc,143,211
51302859392,gdd,15,178
51302876663,baf,201,71
51302908829,agc,143,200
51302923831,fde,99,187
51302924320,bdd,166,55
51302929886,cda,154,262
51302934229,fab,267,13
51302936252,gfa,106,285
51302961545,bea,104,193
51302995509,dfg,291,28
51302995963,efg,168,77
51303030293,fcb,155,15
51303038725,ffa,276,15
51303091947,fgf,261,192
51303102381,aga,47,231
51303102685,bed,110,291
51303103278,eab,75,218
51303141824,efd,97,188
51303143905,ccf,178,286
51303181502,bgd,53,73
51303183136,acf,90,208
51303213134,fgg,170,66
51303216175,aee,7,189
51303226246,cfg,289,83
51303277285,ggd,54,283
51303328248,bdc,8,224
51303330252,bec,145,62
51303350759,cfd,271,168
51303354459,ace,139,94
51303355647,eef,140,254
51303356693,dfa,3,283
51303374446,deb,260,61
51303385078,gdg,107,137
51303436061,bfd,193,288
51303461118,bcf,21,216
51303463069,aed,206,30
51303469868,gca,250,96
51303474500,aag,126,36
51303484144,fdc,151,33
51303496424,ceg,36,176
